[Gene ID]	[source_id]	[Min %ile (Within Chosen Samples)]	[Max %ile (Within Chosen Samples)]	[Gene Name or Symbol]	[gene_source_id]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 5]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 10]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 15]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 20]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 25]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 30]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 35]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 40]	[scaled  - Hour 5]	[scaled  - Hour 10]	[scaled  - Hour 15]	[scaled  - Hour 20]	[scaled  - Hour 25]	[scaled  - Hour 30]	[scaled  - Hour 35]	[scaled  - Hour 40]	
PF3D7_0101100	PF3D7_0101100.1	7.9	7.9	EPF4	PF3D7_0101100	0.55	1.36	1.16	1.05	1.07	0.57	0.38	0.3	0.03	0.07	0.07	0.19	0.69	0.51	0.38	0.14	
PF3D7_0101200	PF3D7_0101200.1	7.1	7.1	EPF3	PF3D7_0101200	0.44	0.26	0.99	0.14	0.72	0.31	0.1	0	0.03	0.01	0.06	0.03	0.46	0.27	0.1	0	
PF3D7_0101300	PF3D7_0101300.1	13.9	13.9	MC-2TM	PF3D7_0101300	1.44	0.51	0.14	7.46	25.02	6.88	1.08	0.27	0.09	0.03	0.01	1.34	16.1	6.14	1.08	0.12	
PF3D7_0101400	PF3D7_0101400.1	4.2	4.2	EPF1	PF3D7_0101400	0.12	0	0	0.12	0	0.13	0.17	0	0.01	0	0	0.02	0	0.11	0.17	0	
PF3D7_0101500	PF3D7_0101500.1	3.1	3.1	VAR	PF3D7_0101500	0.06	0.22	0	0.06	0.1	0.13	0.3	0.34	0	0.01	0	0.01	0.06	0.11	0.3	0.16	
PF3D7_0101600	PF3D7_0101600.1	7.9	7.9	RIF	PF3D7_0101600	0.55	0.89	0.62	0.44	0.82	0.86	0.19	0.25	0.03	0.05	0.04	0.08	0.53	0.77	0.19	0.12	
PF3D7_0101700	PF3D7_0101700.1	4.4	4.4	VAR	PF3D7_0101700	0.15	0.07	0.22	0.07	0.12	0	0.1	0.14	0.01	0	0.01	0.01	0.08	0	0.1	0.06	
PF3D7_0101800	PF3D7_0101800.1	0	0	N/A	PF3D7_0101800	0	0	0.23	0.11	0	0	0	0	0	0	0.01	0.02	0	0	0	0	
PF3D7_0101900	PF3D7_0101900.1	8.3	8.3	RIF	PF3D7_0101900	0.59	1.05	0.38	0.28	0	0.21	0	0.09	0.04	0.05	0.02	0.05	0	0.18	0	0.04	
PF3D7_0102000	PF3D7_0102000.1	8.8	8.8	N/A	PF3D7_0102000	0.67	1.19	0.52	0.64	0.11	0	0.18	0.25	0.04	0.06	0.03	0.12	0.07	0	0.18	0.11	
PF3D7_0102100	PF3D7_0102100.1	14.7	14.7	N/A	PF3D7_0102100	1.57	3.41	1.51	1.62	0.98	1	0.16	0.44	0.1	0.18	0.1	0.29	0.63	0.89	0.16	0.21	
PF3D7_0102200	PF3D7_0102200.1	99.9	99.9	RESA	PF3D7_0102200	15269.85	10471.23	2435.81	542.96	37.05	14.6	6.21	115.66	966.57	539.09	156.75	97.84	23.84	13.03	6.21	53.61	
PF3D7_0102300	PF3D7_0102300.1	55.4	55.4	N/A	PF3D7_0102300	15.26	12.22	8.32	4.98	170.24	960.33	1157.56	485.16	0.97	0.63	0.54	0.9	109.56	856.74	1157.56	224.87	
PF3D7_0102400	PF3D7_0102400.1	33.8	33.8	N/A	PF3D7_0102400	5.13	2.97	1.96	0.51	3.45	6.99	10.72	11.98	0.32	0.15	0.13	0.09	2.22	6.24	10.72	5.55	
PF3D7_0102500	PF3D7_0102500.1	98.3	98.3	EBA181	PF3D7_0102500	1024.35	229.38	23.96	6.97	1.13	1.13	1.75	63.34	64.84	11.81	1.54	1.26	0.72	1	1.75	29.36	
PF3D7_0102600	PF3D7_0102600.1	40.7	40.7	FIKK1	PF3D7_0102600	7.32	4.33	14.21	42.44	46.18	15.73	9.21	4.07	0.46	0.22	0.91	7.65	29.72	14.03	9.21	1.89	
PF3D7_0102700	PF3D7_0102700.1	84.9	84.9	MaTrA	PF3D7_0102700	95.04	66.28	33.91	14.01	14.94	13.51	8.48	5.08	6.02	3.41	2.18	2.53	9.62	12.06	8.48	2.36	
PF3D7_0102800	PF3D7_0102800.1	16.4	16.4	N/A	PF3D7_0102800	1.79	1.09	0.97	1.13	6.99	22.19	24.41	18.74	0.11	0.06	0.06	0.2	4.5	19.79	24.41	8.69	
PF3D7_0102900	PF3D7_0102900.1	62.5	62.5	N/A	PF3D7_0102900	21.78	72.32	128.16	168.93	225.11	203.94	132.46	83.82	1.38	3.72	8.25	30.44	144.87	181.94	132.46	38.85	
PF3D7_0103000	PF3D7_0103000.1	35	35	N/A	PF3D7_0103000	5.49	2.89	2.01	2.13	2.97	14.26	23.44	55.98	0.35	0.15	0.13	0.38	1.91	12.72	23.44	25.95	
PF3D7_0103100	PF3D7_0103100.1	19.9	19.9	VPS51	PF3D7_0103100	2.33	0.99	0.9	1.92	5.06	8.03	13.98	14.55	0.15	0.05	0.06	0.35	3.26	7.17	13.98	6.74	
PF3D7_0103200	PF3D7_0103200.1	64.2	64.2	NT4	PF3D7_0103200	24.29	30.6	60.57	96.74	203.75	206.6	179.75	155.42	1.54	1.58	3.9	17.43	131.12	184.31	179.75	72.04	
PF3D7_0103300	PF3D7_0103300.1	71.5	71.5	N/A	PF3D7_0103300	37.52	36.92	46.59	48.31	43.33	45.65	43.5	35.56	2.37	1.9	3	8.71	27.88	40.73	43.5	16.48	
PF3D7_0103400	PF3D7_0103400.1	88.5	88.5	N/A	PF3D7_0103400	139.54	44.19	14.62	37.31	98.1	114.15	105.81	73.67	8.83	2.28	0.94	6.72	63.13	101.84	105.81	34.14	
PF3D7_0103500	PF3D7_0103500.1	28.5	28.5	N/A	PF3D7_0103500	3.95	1.22	1.24	0.89	3.52	8.05	9.49	4.48	0.25	0.06	0.08	0.16	2.27	7.19	9.49	2.08	
PF3D7_0103600	PF3D7_0103600.1	50.8	50.8	N/A	PF3D7_0103600	12.35	11.14	17.72	38.57	76.78	77.48	76.21	36.6	0.78	0.57	1.14	6.95	49.41	69.12	76.21	16.96	
PF3D7_0103700	PF3D7_0103700.1	39.8	39.8	PSTK	PF3D7_0103700	7.03	14.13	18.5	24.1	22.75	25.17	29.81	18.57	0.45	0.73	1.19	4.34	14.64	22.45	29.81	8.61	
PF3D7_0103800	PF3D7_0103800.1	21.2	21.2	ARP1	PF3D7_0103800	2.5	4.57	2.49	3	1.45	1.48	3.6	12.65	0.16	0.24	0.16	0.54	0.93	1.32	3.6	5.86	
PF3D7_0103900	PF3D7_0103900.1	26	26	PIESP15	PF3D7_0103900	3.36	5.11	9.83	23.28	61.8	91.16	105.06	63.04	0.21	0.26	0.63	4.19	39.77	81.33	105.06	29.22	
PF3D7_0104000	PF3D7_0104000.1	24.7	24.7	TRSP	PF3D7_0104000	3.11	2.38	1.6	1.99	0.34	1.51	6.52	14.89	0.2	0.12	0.1	0.36	0.22	1.34	6.52	6.9	
PF3D7_0104100	PF3D7_0104100.1	37.9	37.9	N/A	PF3D7_0104100	6.39	1.9	0.91	0.16	0.31	1.96	20.73	49.84	0.4	0.1	0.06	0.03	0.2	1.75	20.73	23.1	
PF3D7_0104200	PF3D7_0104200.1	97.7	97.7	N/A	PF3D7_0104200	758.93	155.65	25.51	33.67	74.39	71.61	71.96	103.08	48.04	8.01	1.64	6.07	47.87	63.88	71.96	47.78	
PF3D7_0104300	PF3D7_0104300.1	98.2	98.2	UBP1	PF3D7_0104300	929.77	509.67	247.93	176.87	134.23	101.77	99.63	82.86	58.85	26.24	15.96	31.87	86.39	90.79	99.63	38.4	
PF3D7_0104400	PF3D7_0104400.1	58.2	58.2	LytB	PF3D7_0104400	17.55	11.44	8.49	16.13	39.02	65.75	76.98	62.95	1.11	0.59	0.55	2.91	25.11	58.66	76.98	29.18	
PF3D7_0104500	PF3D7_0104500.1	45.2	45.2	N/A	PF3D7_0104500	9.29	51.24	104.31	155.95	222.34	222.55	137.45	44.47	0.59	2.64	6.71	28.1	143.09	198.54	137.45	20.61	
PF3D7_0104600	PF3D7_0104600.1	12.6	12.6	N/A	PF3D7_0104600	1.24	4.13	5.76	8.11	14.39	13.91	7.93	4.23	0.08	0.21	0.37	1.46	9.26	12.41	7.93	1.96	
PF3D7_0104700	PF3D7_0104700.1	9	9	MFR2	PF3D7_0104700	0.72	0.76	0.55	0.09	0.35	0.74	0.72	0.35	0.05	0.04	0.04	0.02	0.22	0.66	0.72	0.16	
PF3D7_0104800	PF3D7_0104800.1	63.6	63.6	NPT1	PF3D7_0104800	23.51	7.17	2.04	1.86	7.88	16.07	21.77	23.34	1.49	0.37	0.13	0.34	5.07	14.33	21.77	10.82	
PF3D7_0105100	PF3D7_0105100.1	13.6	13.6	N/A	PF3D7_0105100	1.42	0.42	0.23	0.68	5.75	25.75	34.08	30.65	0.09	0.02	0.01	0.12	3.7	22.97	34.08	14.21	
PF3D7_0105200	PF3D7_0105200.1	52.9	52.9	N/A	PF3D7_0105200	13.43	3.59	3.74	27.92	78.42	90.18	65.85	42.58	0.85	0.18	0.24	5.03	50.47	80.45	65.85	19.73	
PF3D7_0105300	PF3D7_0105300.1	81	81	CAP	PF3D7_0105300	69.81	11.43	4.02	3.6	2.2	15.17	57.93	234.85	4.42	0.59	0.26	0.65	1.42	13.53	57.93	108.85	
PF3D7_0105400	PF3D7_0105400.1	85.1	85.1	N/A	PF3D7_0105400	96.6	22.8	3.48	1.85	0.78	1.25	10.39	170.27	6.11	1.17	0.22	0.33	0.5	1.12	10.39	78.92	
PF3D7_0105400	PF3D7_0105400.2	85.1	85.1	N/A	PF3D7_0105400	96.6	22.8	3.48	1.85	0.78	1.25	10.39	170.27	6.11	1.17	0.22	0.33	0.5	1.12	10.39	78.92	
PF3D7_0105500	PF3D7_0105500.1	15.5	15.5	N/A	PF3D7_0105500	1.67	1.57	0.19	1.51	5.76	11.36	12.34	14.06	0.11	0.08	0.01	0.27	3.71	10.14	12.34	6.52	
PF3D7_0105600	PF3D7_0105600.1	28.4	28.4	N/A	PF3D7_0105600	3.88	8.39	14.27	18.08	19.06	16.4	15.76	10.63	0.25	0.43	0.92	3.26	12.26	14.63	15.76	4.93	
PF3D7_0105700	PF3D7_0105700.1	39.1	39.1	N/A	PF3D7_0105700	6.8	5.03	3.39	2.8	9.94	29.91	40.06	24.1	0.43	0.26	0.22	0.5	6.4	26.68	40.06	11.17	
PF3D7_0105800	PF3D7_0105800.1	70.7	70.7	N/A	PF3D7_0105800	35.56	10.43	4.6	2.78	13.32	59.73	105.04	148.99	2.25	0.54	0.3	0.5	8.57	53.29	105.04	69.05	
PF3D7_0105900	PF3D7_0105900.1	58.4	58.4	N/A	PF3D7_0105900	17.78	5.42	2.84	2.69	18.87	46.09	61.9	60.02	1.13	0.28	0.18	0.48	12.14	41.12	61.9	27.82	
PF3D7_0106000	PF3D7_0106000.1	62.3	62.3	N/A	PF3D7_0106000	21.64	4.75	1.35	0.81	3.95	18.71	32.76	76.4	1.37	0.24	0.09	0.15	2.54	16.69	32.76	35.41	
PF3D7_0106100	PF3D7_0106100.1	52.6	52.6	N/A	PF3D7_0106100	13.27	20.42	30.34	42.73	53.97	55.64	58.63	62.6	0.84	1.05	1.95	7.7	34.73	49.63	58.63	29.02	
PF3D7_0106200	PF3D7_0106200.1	32.2	32.2	N/A	PF3D7_0106200	4.72	4.03	1.52	0.91	1.41	11.12	20.35	48.83	0.3	0.21	0.1	0.16	0.9	9.92	20.35	22.63	
PF3D7_0106300	PF3D7_0106300.1	78.3	78.3	ATP6	PF3D7_0106300	56.71	96.12	113.64	100.25	113.57	121.94	154.4	208.31	3.59	4.95	7.31	18.06	73.08	108.79	154.4	96.55	
PF3D7_0106400	PF3D7_0106400.1	79	79	N/A	PF3D7_0106400	59.71	161.92	280.82	335.35	368.92	195.01	86.66	45.66	3.78	8.34	18.07	60.43	237.41	173.97	86.66	21.16	
PF3D7_0106500	PF3D7_0106500.1	21.6	21.6	N/A	PF3D7_0106500	2.55	1.81	1.14	1.09	1.23	9.5	26.44	28.66	0.16	0.09	0.07	0.2	0.79	8.48	26.44	13.28	
PF3D7_0106600	PF3D7_0106600.1	51.8	51.8	N/A	PF3D7_0106600	12.91	4.11	2.51	2.94	1.66	2.71	5.12	6.99	0.82	0.21	0.16	0.53	1.07	2.42	5.12	3.24	
PF3D7_0106700	PF3D7_0106700.1	78.3	78.3	AARP2	PF3D7_0106700	56.34	89.92	96	111.3	117.51	105.2	74.31	48.66	3.57	4.63	6.18	20.05	75.62	93.85	74.31	22.55	
PF3D7_0106800	PF3D7_0106800.1	48.7	48.7	RAB5c	PF3D7_0106800	11.06	5.73	5.48	13.2	36.19	61.92	102.87	144.42	0.7	0.3	0.35	2.38	23.29	55.24	102.87	66.94	
PF3D7_0106900	PF3D7_0106900.1	53.1	53.1	IspD	PF3D7_0106900	13.49	6.42	3.92	3.42	15.13	48.33	99.74	75.42	0.85	0.33	0.25	0.62	9.74	43.12	99.74	34.96	
PF3D7_0107000	PF3D7_0107000.1	62.6	62.6	CEN1	PF3D7_0107000	21.91	19.56	14.72	10.62	54.21	232.98	427.58	564.52	1.39	1.01	0.95	1.91	34.89	207.85	427.58	261.65	
PF3D7_0107100	PF3D7_0107100.1	8.9	8.9	N/A	PF3D7_0107100	0.69	1.16	0.96	2.1	11.16	16.62	17.7	7.08	0.04	0.06	0.06	0.38	7.18	14.83	17.7	3.28	
PF3D7_0107200	PF3D7_0107200.1	13.5	13.5	N/A	PF3D7_0107200	1.41	0.62	0.77	1.83	15.59	24.03	19.27	11.11	0.09	0.03	0.05	0.33	10.03	21.44	19.27	5.15	
PF3D7_0107300	PF3D7_0107300.1	18.6	18.6	N/A	PF3D7_0107300	2.12	1.28	0.57	0.57	1.86	4.33	3.26	2.11	0.13	0.07	0.04	0.1	1.2	3.86	3.26	0.98	
PF3D7_0107400	PF3D7_0107400.1	44.8	44.8	N/A	PF3D7_0107400	9.04	5.27	6.16	5.51	13.26	61	78.38	78.45	0.57	0.27	0.4	0.99	8.53	54.42	78.38	36.36	
PF3D7_0107500	PF3D7_0107500.1	97.3	97.3	N/A	PF3D7_0107500	654.21	387.22	268.61	270.99	224.96	167.75	104.94	66.05	41.41	19.94	17.29	48.83	144.77	149.66	104.94	30.61	
PF3D7_0107600	PF3D7_0107600.1	25.8	25.8	N/A	PF3D7_0107600	3.32	2.24	1.39	1.08	0.86	1.66	1.57	1.59	0.21	0.12	0.09	0.2	0.56	1.48	1.57	0.74	
PF3D7_0107700	PF3D7_0107700.1	23.5	23.5	N/A	PF3D7_0107700	2.89	2.49	2.05	2.26	11.61	27.33	28.93	20.52	0.18	0.13	0.13	0.41	7.47	24.39	28.93	9.51	
PF3D7_0107800	PF3D7_0107800.1	24.8	24.8	MRE11	PF3D7_0107800	3.14	2.02	5.3	16.28	35.85	56.4	66.87	39.9	0.2	0.1	0.34	2.93	23.07	50.32	66.87	18.49	
PF3D7_0107900	PF3D7_0107900.1	24.4	24.4	N/A	PF3D7_0107900	3.08	4.79	17.2	36.4	46.99	50.79	45.17	31.19	0.19	0.25	1.11	6.56	30.24	45.32	45.17	14.46	
PF3D7_0108000	PF3D7_0108000.1	68.4	68.4	N/A	PF3D7_0108000	30.56	52.42	80.86	126.76	199.84	304.27	395.17	641.59	1.93	2.7	5.2	22.84	128.6	271.45	395.17	297.37	
PF3D7_0108100	PF3D7_0108100.1	15	15	N/A	PF3D7_0108100	1.6	1.37	1.25	2.23	7.06	11.23	17.31	12.86	0.1	0.07	0.08	0.4	4.54	10.02	17.31	5.96	
PF3D7_0108300	PF3D7_0108300.1	94.1	94.1	ARP	PF3D7_0108300	320.34	408.88	356.15	358.87	360.6	307.58	245.98	173.91	20.28	21.05	22.92	64.67	232.06	274.4	245.98	80.61	
PF3D7_0108400	PF3D7_0108400.1	74.5	74.5	N/A	PF3D7_0108400	43.92	45.21	38.37	43.95	43.68	41.39	34.43	24.96	2.78	2.33	2.47	7.92	28.11	36.93	34.43	11.57	
PF3D7_0108400	PF3D7_0108400.2	74.5	74.5	N/A	PF3D7_0108400	43.92	45.21	38.37	43.95	43.68	41.39	34.43	24.96	2.78	2.33	2.47	7.92	28.11	36.93	34.43	11.57	
PF3D7_0108500	PF3D7_0108500.1	100	100	N/A	PF3D7_0108500	17735.99	22725.24	6925.09	3428.64	693.54	394.92	233.35	366.22	1122.67	1169.97	445.66	617.81	446.32	352.32	233.35	169.74	
PF3D7_0108600	PF3D7_0108600.1	93.8	93.8	N/A	PF3D7_0108600	296.64	233.16	114.61	58.23	23.28	73.5	84.24	54.75	18.78	12	7.38	10.49	14.98	65.57	84.24	25.38	
PF3D7_0108700	PF3D7_0108700.1	63.7	63.7	PSOP24	PF3D7_0108700	23.63	48.58	64.87	79.73	72.87	87.01	123.83	108.7	1.5	2.5	4.17	14.37	46.9	77.63	123.83	50.38	
PF3D7_0108800	PF3D7_0108800.1	53.4	53.4	N/A	PF3D7_0108800	13.74	8.99	13.06	19.07	25	44.7	58.11	52.72	0.87	0.46	0.84	3.44	16.09	39.88	58.11	24.43	
PF3D7_0109000	PF3D7_0109000.1	99	99	PHIL1	PF3D7_0109000	1602.38	317.46	48.01	10.58	5.4	4.87	4.65	113.1	101.43	16.34	3.09	1.91	3.47	4.34	4.65	52.42	
PF3D7_0109100	PF3D7_0109100.1	75.1	75.1	CCp5	PF3D7_0109100	45.28	10.12	4.29	2.34	1.04	1.41	1.04	3.83	2.87	0.52	0.28	0.42	0.67	1.25	1.04	1.77	
PF3D7_0109200	PF3D7_0109200.1	32	32	N/A	PF3D7_0109200	4.67	4.77	11.1	23.94	33.87	48.95	63.58	48.63	0.3	0.25	0.71	4.31	21.8	43.67	63.58	22.54	
PF3D7_0109300	PF3D7_0109300.1	30.2	30.2	N/A	PF3D7_0109300	4.31	3.72	2.63	2.02	4.7	17.6	23.47	28.1	0.27	0.19	0.17	0.36	3.02	15.7	23.47	13.03	
PF3D7_0109400	PF3D7_0109400.1	67.6	67.6	N/A	PF3D7_0109400	29.29	29.87	27.44	80.87	214.48	296.04	188.01	71.41	1.85	1.54	1.77	14.57	138.02	264.1	188.01	33.1	
PF3D7_0109500	PF3D7_0109500.1	62	62	N/A	PF3D7_0109500	21.34	57.21	99.87	131.32	103.3	101.19	107.79	94.7	1.35	2.95	6.43	23.66	66.48	90.27	107.79	43.89	
PF3D7_0109600	PF3D7_0109600.1	45.6	45.6	N/A	PF3D7_0109600	9.45	10.95	13.44	21.6	30.88	36.95	25.72	9.95	0.6	0.56	0.86	3.89	19.87	32.96	25.72	4.61	
PF3D7_0109700	PF3D7_0109700.1	93.7	93.7	RRP36	PF3D7_0109700	288.54	607.04	695.53	687.88	454.26	332.02	308.04	148	18.26	31.25	44.76	123.95	292.33	296.2	308.04	68.6	
PF3D7_0109800	PF3D7_0109800.1	60.7	60.7	cPheRS	PF3D7_0109800	19.93	39.13	56.94	55.78	52.41	44.45	45.87	39.18	1.26	2.01	3.66	10.05	33.73	39.65	45.87	18.16	
PF3D7_0109850	PF3D7_0109850.1	32.2	32.2	N/A	PF3D7_0109850	4.72	3.32	4.77	7.16	5.04	11.12	27.27	42.94	0.3	0.17	0.31	1.29	3.24	9.92	27.27	19.9	
PF3D7_0109950	PF3D7_0109950.1	43.9	43.9	N/A	PF3D7_0109950	8.69	7.15	10.72	15.34	30.72	54.86	63.13	62.04	0.55	0.37	0.69	2.76	19.77	48.94	63.13	28.76	
PF3D7_0110000	PF3D7_0110000.1	70	70	N/A	PF3D7_0110000	33.68	42.33	40.25	41.09	53.31	74.68	68.68	52.88	2.13	2.18	2.59	7.4	34.31	66.63	68.68	24.51	
PF3D7_0110100	PF3D7_0110100.1	19.3	19.3	N/A	PF3D7_0110100	2.22	6.81	14.81	16.19	21.34	25.08	24.4	15.8	0.14	0.35	0.95	2.92	13.73	22.37	24.4	7.32	
PF3D7_0110200	PF3D7_0110200.1	33.2	33.2	ERV1	PF3D7_0110200	4.95	12.52	29.32	36.93	66.49	86.32	91.25	70.21	0.31	0.64	1.89	6.65	42.79	77.01	91.25	32.54	
PF3D7_0110400	PF3D7_0110400.1	80.4	80.4	RPB9	PF3D7_0110400	66.44	145.8	195.6	203.95	182.23	185.32	152.29	118.07	4.21	7.51	12.59	36.75	117.27	165.33	152.29	54.72	
PF3D7_0110500	PF3D7_0110500.1	64.7	64.7	N/A	PF3D7_0110500	24.86	27.12	44.17	61.25	80.3	66.01	65.43	32.12	1.57	1.4	2.84	11.04	51.67	58.89	65.43	14.89	
PF3D7_0110600	PF3D7_0110600.1	89.4	89.4	PIP5K	PF3D7_0110600	155.41	126.19	107.57	92.24	75.24	68.09	77.78	69.83	9.84	6.5	6.92	16.62	48.42	60.74	77.78	32.36	
PF3D7_0110700	PF3D7_0110700.1	62.4	62.4	N/A	PF3D7_0110700	21.73	11.9	10.47	15.98	73.65	213.69	158.33	73.17	1.38	0.61	0.67	2.88	47.39	190.64	158.33	33.92	
PF3D7_0110800	PF3D7_0110800.1	87.5	87.5	N/A	PF3D7_0110800	127.1	103.3	104.68	124.28	173.06	158.91	127.85	70.68	8.05	5.32	6.74	22.39	111.37	141.77	127.85	32.76	
PF3D7_0110900	PF3D7_0110900.1	17.9	17.9	AKLP1	PF3D7_0110900	2	14.46	35.71	62.45	81.6	73.27	39.05	14.39	0.13	0.74	2.3	11.25	52.51	65.37	39.05	6.67	
PF3D7_0111000	PF3D7_0111000.1	43.5	43.5	N/A	PF3D7_0111000	8.49	3.66	1.4	1.96	4.69	12.41	20.34	24.98	0.54	0.19	0.09	0.35	3.02	11.07	20.34	11.58	
PF3D7_0111200	PF3D7_0111200.1	36.1	36.1	N/A	PF3D7_0111200	5.89	2.45	3.34	3.33	15.49	58.37	89.71	61	0.37	0.13	0.21	0.6	9.97	52.08	89.71	28.27	
PF3D7_0111300	PF3D7_0111300.1	44.6	44.6	N/A	PF3D7_0111300	8.93	4.61	2.05	9.58	48.72	101.68	150.72	120.51	0.57	0.24	0.13	1.73	31.35	90.71	150.72	55.86	
PF3D7_0111400	PF3D7_0111400.1	36	36	GEXP19	PF3D7_0111400	5.86	4.81	4.64	8.08	36.15	71.56	96.17	73.92	0.37	0.25	0.3	1.46	23.27	63.84	96.17	34.26	
PF3D7_0111500	PF3D7_0111500.1	82.8	82.8	N/A	PF3D7_0111500	80.63	18.01	3.61	8.07	52.3	146.38	157.61	247.8	5.1	0.93	0.23	1.45	33.65	130.59	157.61	114.85	
PF3D7_0111600	PF3D7_0111600.1	18.2	18.2	N/A	PF3D7_0111600	2.05	11.22	34.18	47.42	45.33	48.79	49.41	31.05	0.13	0.58	2.2	8.55	29.17	43.52	49.41	14.39	
PF3D7_0111700	PF3D7_0111700.1	13.9	13.9	N/A	PF3D7_0111700	1.44	10.44	18.58	19.9	23.38	23.64	23.06	17.24	0.09	0.54	1.2	3.59	15.05	21.09	23.06	7.99	
PF3D7_0111800	PF3D7_0111800.1	42.8	42.8	N/A	PF3D7_0111800	8.2	13.89	50.28	126.54	207.73	204.6	161.34	96.67	0.52	0.71	3.24	22.8	133.69	182.53	161.34	44.81	
PF3D7_0111900	PF3D7_0111900.1	63.1	63.1	N/A	PF3D7_0111900	22.78	29.32	45.9	76.78	166.58	240.73	298.38	292.01	1.44	1.51	2.95	13.83	107.2	214.76	298.38	135.35	
PF3D7_0112000	PF3D7_0112000.1	31.3	31.3	TatD	PF3D7_0112000	4.55	8.65	15.49	18.93	31.66	40.52	47.09	37.94	0.29	0.45	1	3.41	20.37	36.14	47.09	17.58	
PF3D7_0112100	PF3D7_0112100.1	19.6	19.6	N/A	PF3D7_0112100	2.28	3.85	6.79	4.18	0.84	1.51	0.28	0	0.14	0.2	0.44	0.75	0.54	1.34	0.28	0	
PF3D7_0112200	PF3D7_0112200.1	14.1	14.1	MRP1	PF3D7_0112200	1.47	1.53	9.34	21.96	64.85	84.17	65.95	36.13	0.09	0.08	0.6	3.96	41.73	75.09	65.95	16.74	
